delay_fs,phase_rad,opl_nm,transmittance
-1.000000000000000000e+03,7.669769686804769199e-04,6.286511053861489062e-02,9.913442830563478081e-01
-9.670000000000000000e+02,-8.058634341377793071e-04,-6.605243173501937348e-02,9.852903341531542569e-01
-9.340000000000000000e+02,3.906693378185594964e-03,3.202113245755455195e-01,1.004995707431173058e+00
-9.010000000000000000e+02,6.399095512883777159e-04,5.245005563291995493e-02,1.020629061697389206e+00
-8.680000000000000000e+02,-3.267679635793081273e-03,-2.678346937357544699e-01,1.003220191534306638e+00
-8.350000000000000000e+02,2.205794679852215827e-03,1.807975102733067330e-01,9.882894235175330166e-01
-8.020000000000000000e+02,7.954633630727393073e-03,6.519999203498770823e-01,9.731756057184663966e-01
-7.690000000000000000e+02,5.777356688432673699e-03,4.735398606090778229e-01,9.719695957016512011e-01
-7.360000000000000000e+02,-4.292928869515010883e-03,-3.518690377114863099e-01,1.010053656997497162e+00
-7.030000000000000000e+02,-7.719337527465210992e-03,-6.327139233187917267e-01,1.019794260665715768e+00
-6.700000000000000000e+02,-3.802189912889216566e-03,-3.116457193933878100e-01,9.967141081474939490e-01
-6.370000000000000000e+02,2.519057377386284551e-04,2.064740232747136126e-02,9.785127028354311252e-01
-6.040000000000000000e+02,-1.418376442989279819e-02,-1.162569353644245407e+00,1.017460843052433894e+00
-5.710000000000000000e+02,-1.335983980503301820e-03,-1.095036540101737149e-01,9.743921211057082754e-01
-5.380000000000000000e+02,-7.602149942652756953e-03,-6.231086668719617583e-01,9.857386380988140129e-01
-5.050000000000000000e+02,-4.470653241514139196e-03,-3.664361795519418541e-01,1.012420357070806132e+00
-4.720000000000000000e+02,-3.325896369460823974e-03,-2.726064164167055770e-01,9.549971765288993719e-01
-4.390000000000000000e+02,-1.937795745742546243e-03,-1.588310323932465018e-01,1.007727391956403595e+00
-4.060000000000000000e+02,2.497480710343195128e-03,2.047054961688054564e-01,9.883671832912575006e-01
-3.730000000000000000e+02,6.339017343763871278e-03,5.195762614717174266e-01,1.002185594122038115e+00
-3.400000000000000000e+02,-8.127272281036792417e-04,-6.661502120510857938e-02,9.984859702658334113e-01
-3.070000000000000000e+02,8.304960312696313407e-03,6.807143752630299138e-01,1.004042294182381889e+00
-2.740000000000000000e+02,-4.096402829277260432e-03,-3.357608209751772321e-01,1.013883460382319468e+00
-2.410000000000000000e+02,2.085533891416509276e-03,1.709403593193759840e-01,9.848326344976138236e-01
-2.080000000000000000e+02,5.430754247893408368e-03,4.451306623838153231e-01,1.028419810791680211e+00
